Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.794889992902768,0.639344262295082,0.5213903743315508,0.5743740795287187,0.8429331679971066
Random Forest,0.765791341376863,0.5516431924882629,0.6283422459893048,0.5875,0.8181107752719005
XGBoost,0.801277501774308,0.6577181208053692,0.5240641711229946,0.5833333333333334,0.8444560696478856
